,0,1,2,3,4,5,6
0,Area and production of rice crops 2010-11,,,,,,
1,(Area in acre & production in metric ton),,,,,,
2,Upazila/city corporation,Aus Area,Aus Production,Aman Area,Aman Production,Boro Area,Boro Production
3,Agailjhara,6765,3206,1606,1052,24721,45.203
4,Babuganj,1780,1161,25978,17352,4567,6985
5,Bakerganj,39698,32823,71330,47767,1618,1373
6,Banaripara,960,653,11350,8897.25,13466,28581.03
7,Barisal city corporation,1430,1388,4310,4074,1383,2946
8,Barisal sadar,9110,8574,367744,35835,10242,16062
9,Gaurnadi,1255,722,18825,13749,16485,27716
10,Hizla,7952,4488,31458,21971,7694,11800
11,Mehendiganj,11894,9537,61493,83012,25640,49140
12,Muladi,4790,2276,33246,18.502,9543,12558
13,Wazirpur,843,555,8134,7459,33741,62381.53
14,Total,86477,65383,635474,241186.752,149100,219587.763
