,0,1,2,3,4,5,6
0,"Number of municipality, union, mauza, mahalla and village 2011",,,,,,
1,Comilla,,,,,,
2,,,,,,,
3,Upazila,Municipality,Ward (PSA),Mahalla,Union,Mauza,Village
4,Adarsha Sadar,1,18,49,7,145,193
5,Barura,1,9,26,14,212,314
6,Brahmanpara,0,0,0,8,53,65
7,Burichang,0,0,0,8,149,172
8,Chandina,1,9,19,13,121,223
9,Chauddagram,1,9,27,13,363,403
10,Comilla Sadar Dakshin,1,9,63,14,318,375
11,Daudkandi,1,9,26,15,168,267
12,Debidwar,1,9,22,15,129,192
13,Homna,1,9,13,9,70,154
14,Laksam,1,9,31,7,136,178
15,Monoharganj,0,0,0,11,145,181
16,Meghna,0,0,0,8,38,102
17,Muradnagar,0,0,0,22,154,305
18,Nangalkot,1,9,21,12,193,270
19,Titas,0,0,0,9,61,138
20,Total,10,99,297,185,2455,3532
