,0,1,2,3,4,5,6,7,8
0,"Number of filling station, fire brigade station, police station, camp, union land (tohsil) office, BOP (BGB camp), cyber cafe 2011",,,,,,,,
1,,,,,,,,,
2, Upazila,Filling station,Fire brigade station,Police station/ camp,Union land (tohsil) office,Sub- registry office,BOP (BGB camp),ISP provider,Cyber cafe
3,Gazipur Sadar,45,2,2,4,10,2,10,22
4,Kaliakair,12,1,3,5,1,0,1,0
5,Kaliganj,3,0,1,8,1,0,1,0
6,Kapashia,6,0,3,8,1,0,0,0
7,Sreepur,5,0,4,9,1,0,0,0
8,Total,71,3,13,34,14,2,12,22
