,0,1,2,3,4,5,6,7,8
0,"Number of secondary school & colleges (operating jointly), teacher and student by municipality 2011",,,,,,,,
1,"
Municipality","
Number of Inst.",Number of teacher,Number of teacher,Number of teacher,Number of student,Number of student,Number of student,Students per teacher
2,"
Municipality","
Number of Inst.",Male,Female,Total,Male,Female,Total,Students per teacher
3,Kushtia Sadar,1,32,7,39,659,325,984,258
4,Bheramara,0,0,0,0,0,0,0,0
5,Daulatpur,0,0,0,0,0,0,0,0
6,Khoksa,0,0,0,0,0,0,0,0
7,Kumarkhali,0,0,0,0,0,0,0,0
8,Mirpur,0,0,0,0,0,0,0,0
9,Total,1,32,7,39,659,325,984,25
