,0,1,2,3,4,5,6,7,8
0,"Number of kindergarten school (pre schooling), teacher and student 2011",,,,,,,,
1,"
Upazila","Number of kindergarten
school",Number of teacher,Number of teacher,Number of teacher,Number of student,Number of student,Number of student,"Students per
teacher"
2,"
Upazila","Number of kindergarten
school",Male,Female,Total,Male,Female,Total,"Students per
teacher"
3,Bauphal,5,18,8,26,511,550,1061,41
4,Dashmina,1,0,12,12,43,51,94,8
5,Dumki,1,1,4,5,30,20,50,10
6,Galachipa,0,0,0,0,0,0,0,0
7,Kalapara,5,12,19,31,307,282,589,19
8,Mirzaganj,8,16,16,32,300,337,677,21
9,Patuakhali Sadar,16,25,51,76,773,816,1589,21
10,Total,36,72,110,182,1964,2056,4060,22
