,0,1,2,3,4,5,6,7,8
0,"Number of Government secondary school, teacher and student 2011",,,,,,,,
1,Sherpur,,,,,,,,
2,,,,,,,,,
3,Upazila,Number of school,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
4,Jhenaigati,0,0,0,0,0,0,0,0
5,Nakla,0,0,0,0,0,0,0,0
6,Nalitabari,0,0,0,0,0,0,0,0
7,Sherpur Sadar,2,51,30,81,881,788,1669,21
8,Sreebardi,1,2,5,7,0,427,427,61
9,Total,3,53,35,88,881,1215,2096,24
