,0,1,2,3,4,5
0,Average rate of vehicle per kilo meter 2011,,,,,
1,,,,,,
2,(Rate in taka) -  Upazila,(Rate in taka) - Vehicle - Rickshaw,(Rate in taka) - Vehicle - Rickshaw van,(Rate in taka) - Vehicle - Easy bike,(Rate in taka) - Vehicle - Auto rickshaw,(Rate in taka) - Vehicle - Tempo
3,Chakaria,15,10,10,10,5
4,Cox's Bazar Sadar,10,25,5,5,5
5,Kutubdia,10,10,0,5,5
6,Moheshkhali,20,20,10,10,5
7,Pekua,11,31,15,16,12
8,Ramu,10,50,0,5,5
9,Teknaf,10,25,12,10,7
10,Ukhia,10,15,5,10,5
11,Average,12,23,7,9,6
