,0,1,2,3,4,5,6,7,8
0,"Number of kindergarten school (pre schooling), teacher and student 2011",,,,,,,,
1,Kishoreganj,,,,,,,,
2,,,,,,,,,
3, Upazila,Number of kindergarten school,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
4,Austagram,6,11,12,23,108,122,230,10
5,Bajitpur,14,45,85,130,1215,1105,2320,18
6,Bhairab,38,33,52,85,1078,2072,3150,37
7,Hossainpur,10,28,30,58,443,422,865,15
8,Itna,9,27,36,63,900,990,1890,30
9,Karimganj,14,32,24,56,1310,850,2160,39
10,Katiadi,25,80,30,110,1300,2400,3700,34
11,Kishoreganj Sadar,13,21,37,58,1067,1186,2253,39
12,Kuliar-char,17,38,30,68,980,940,1920,28
13,Mithamain,18,4,14,18,100,305,405,23
14,Nikli,9,15,25,40,359,476,835,21
15,Pakundia,58,142,140,282,2750,4057,6807,24
16,Tarail,17,82,60,142,1940,1710,3650,26
17,Total,248,558,575,1133,13550,16635,30185,27
