,0,1,2,3,4,5,6
0,"Selected poultry, Birds 2008",,,,,,
1,BrahmanBaria,,,,,,
2,,,,,,,
3,Upazila,Hen and cock Holding reporting,Hen and cock Total number,Duck Holding reporting,Duck Total number,Other Holding reporting,Other Total number
4,Akhaura,20322,96850,17530,44500,50,250
5,Ashuganj,14652,70175,8146,38362,612,4079
6,Banchrampur,32641,180994,21297,123663,1596,11945
7,Bijoynogor,0,0,0,0,0,0
8,Brahmanbaria Sadar,30000,240792,1510,12080,220,1320
9,Kasba,39045,270953,29388,155299,235,467
10,Nabinagar,50646,285281,38408,172718,2926,18071
11,Nasirnagar,41000,143292,13817,65192,205,8155
12,Sarail,29329,159438,12011,56125,310,5698
13,Total,257635,1447775,142107,667939,6154,49985
