,0,1,2,3,4,5,6
0,Area and production of rice crops 2009-2010,,,,,,
1,BrahmanBaria,,,,,,
2,(Area in acre and production in metric ton),,,,,,
3,Upazila,Aus Area,Aus Production,Aman Area,Aman Production,Boro Area,Boro Production
4,Akhaura,30,52,7900,14325,14080,34910
5,Ashuganj,220,153.48,9247,7692.2,12621,19733.5
6,Banchrampur,227,155,10435,4964,45305,54439
7,Bijoynogor,195.5,193.52,10868,11599,33400,58449.6
8,Brahmanbaria Sadar,4250,4207,43745,46688,63225,110643
9,Kasba,1700,1360,29215,25867.2,33820,50551
10,Nabinagar,7007,828,28908,29623,43576,67876
11,Nasirnagar,2210,1239,17777,10950,45.305,25.205
12,Sarail,349,393.16,10253,13130,36994,54439
13,Total,16188.5,8581.16,168348,164838.4,283066.3,451066.305
