,0,1,2,3,4,5,6,7
0,Number of technical personnel 2011,,,,,,,
1,BrahmanBaria,,,,,,,
2,,,,,,,,
3,Upazila,Agricultural personnel,Live-stock personnel,Plant protection,Fishery personnel,Sanitary personnel,Family planning personnel,Trained midwife
4,Akhaura,20067,750,5000,500,15,0,0
5,Ashuganj,39590,20,0,705,80,91,17
6,Banchrampur,98254,85,0,1750,10,82,62
7,Bijoynogor,22007,95,490,4330,345,224,645
8,Brahmanbaria Sadar,29290,135,676,7333,645,324,60
9,Kasba,107898,18,0,2561,19,123,19
10,Nabinagar,160927,35,0,6006,18,124,216
11,Nasirnagar,33315,12,0,1050,38,83,5
12,Sarail,44432,11,0,1863,5,70,113
13,Total,555780,1161,6166,26098,1175,1121,1137
