,0,1,2,3,4,5,6,7,8
0,"Number of Non-government secondary school, teacher and student 2011",,,,,,,,
1,,,,,,,,,
2, Upazila,Number of  school,Number of teacher,Number of teacher,Number of teacher,Number of student,Number of student,Number of student,Students per teacher
3, Upazila,Number of  school,Male,Female,Total,Male,Female,Total,Students per teacher
4,Chhagalnaiya,30,260,49,309,4732,6022,10754,35
5,Daganbhuiyan,26,242,121,363,5346,6850,12196,33
6,Feni Sadar,56,740,135,875,13898,17580,31478,36
7,Fulgazi,20,203,48,251,2230,3022,5252,21
8,Parshuram,17,127,25,152,2478,2923,5401,36
9,Sonagazi,17,167,24,191,4122,6720,10842,57
10,Total,166,1739,402,2141,32806,43117,75923,35
