,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,Narsingdi,,,,,,,,,
2,,,,,,,,,,
3, Upazila,Small scale and cottage industry - Weaving/ handloom,Small scale and cottage industry - Handy,Small scale and cottage industry - Husking crafts mill,Small scale and cottage industry - Goor processing,Small scale and cottage industry - Biri factory,Small scale and cottage industry - Salt processing,Small scale and cottage industry - Dry fish processing,Small scale and cottage industry - Pottery,Small scale and cottage industry - Others
4,Belabo,0,27,42,0,0,0,0,0,23
5,Manohardi,27,110,50,0,0,0,0,0,0
6,Narsingdi Sadar,6938,365,1,0,0,0,0,1,0
7,Palash,1500,280,35,0,0,0,0,19,20
8,Roypura,1150,415,0,0,0,0,0,0,371
9,Shibpur,0,0,135,0,0,0,0,120,0
10,Total,9615,1197,263,0,0,0,0,140,414
