,0,1,2,3,4,5,6,7
0,Number of selected agricultural machine 2008,,,,,,,
1,Upazila,Number of power tiller,Tractor,Number of threshing machine,,,,
2,Badarganj,766,766,23,223,223,223,
3,Gangachara,180,180,22,584,584,584,
4,Kaunia,335,335,13,470,470,470,
5,Mithapukur,811,811,35,1038,1038,1038,
6,Pirgachha,690,690,48,2897,2897,2897,
7,Pirganj,1472,1472,90,5769,5769,5769,
8,Rangpur sadar,676,676,138,947,947,947,
9,Taraganj,99,99,19,216,216,216,
10,Total,5029,5029,388,12144,12144,12144,
11,"
4.15 Use of chemical fertilizer 2010-11","
4.15 Use of chemical fertilizer 2010-11","
4.15 Use of chemical fertilizer 2010-11","
4.15 Use of chemical fertilizer 2010-11","
4.15 Use of chemical fertilizer 2010-11","
4.15 Use of chemical fertilizer 2010-11","
4.15 Use of chemical fertilizer 2010-11",
12,,,,,,(in metric ton),(in metric ton),(in metric ton)
13,Upazila,UREA,TSP,MP,DAP,,,Other
14,Badarganj,12175,7760,8380,1110,6504,6504,6504
15,Gangachara,9350,3000,1600,835,2300,2300,2300
16,Kaunia,5630,1190,980,490,310,310,310
17,Mithapukur,22580,6580,520,6313,6550,6550,6550
18,Pirgachha,10281,2641,18160,512,2400,2400,2400
19,Pirganj,16990,10390,9130,1375,6710,6710,6710
20,Rangpur sadar,15685,8675,8915,1240,8425,8425,8425
21,Taraganj,7345,4615,4815,445,4710,4710,4710
22,Total,100036,44851,52500,12320,37909,37909,37909
