,0,1,2,3,4,5,6,7
0,Land utilization (temporary cropped area) 2008,,,,,,,
1,Rangamati,,,,,,,
2,,,,,,,,
3, Upazila, Current fallow,Temporary cropped area - Single,Temporary cropped area - Double,Temporary cropped area - Triple,Temporary cropped area - Net,Temporary cropped area - Gross, Productivity of crop
4,Baghaichhari,763,7630,11110,637,19377,31761,164
5,Barkal,1671,6779,7503,2286,16568,28643,173
6,Belai Chhari,411,6099,5023,432,11554,17441,151
7,Jurai Chhari,389,8033,3651,472,12156,16751,138
8,Kaptai,406,1001,4029,2938,7968,17873,224
9,Kawkhali,1170,3804,2332,3440,9576,18788,196
10,Langadu,3127,16261,2880,850,19991,24571,123
11,Naniarchar,937,6265,3593,572,10430,15167,145
12,Rangamati Sadar,1620,5329,6519,711,12559,20500,163
13,Rajasthali,326,1798,2176,266,4240,6948,164
14,Total,10820,62999,48816,12604,124419,198443,160
