,0,1,2,3,4,5,6,7
0,Average price of selected item 2011,,,,,,,
1,"(Price unit per kg, taka)",,,,,,,
2,Upazila,Fine rice (minicate),Medium rice,Coarse rice (normal),Wheat,Coarse flour (Aata),Potato,Soyabean oil
3,Atrai,41,34,24,27,30,10,130
4,Badalgachhi,40,30,25,20,25,8,120
5,Dhamoirhat,41,29,23,20,24,10,120
6,Manda,40,30,22,22,32,12,105
7,Mahadebpur,38,28,26,22,30,8,140
8,Naogaon sadar,42,36,26,28,30,13,126
9,Niamatpur,52,35,25,26,28,10,120
10,Patnitala,40,35,26,20,26,10,120
11,Porsha,44,34,26,25,32,12,130
12,Raninagar,36,32,25,23,27,12,128
13,Sapahar,44,38,34,25,30,10,112
14,Average,42,33,26,23,29,10,123
