,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,,,,,,,,,,
2, Upazila,Small scale and cottage industry - Weaving/ handloom,Small scale and cottage industry - Handy,Small scale and cottage industry - Husking crafts mill,Small scale and cottage industry - Goor processing,Small scale and cottage industry - Biri factory,Small scale and cottage industry - Salt processing,Small scale and cottage industry - Dry fish processing,Small scale and cottage industry - Pottery,Small scale and cottage industry - Others
3,Dhaka Metropolitan,58,81,131,0,0,2,0,0,10
4,Dhamrai,144,429,97,0,0,0,0,70,50
5,Dohar,1076,12,142,0,1,0,0,64,0
6,Keraniganj,22,0,43,0,0,1,0,0,20
7,Nawabganj,756,485,183,0,0,0,0,65,0
8,Savar,0,215,190,0,0,0,0,45,0
9,Total,2056,1222,786,0,1,3,0,244,80
