,0,1,2,3,4
0,Numbers of money exchange agency 2011,,,,
1,,,,,
2, Upazila, Number of money exchange agency, Number of employee,Annual transactions per money exchange agency (in lac tk),Annual profit per agency (in lac tk)
3,Biral,0,0,0,0
4,Birampur,0,0,0,0
5,Birganj,0,0,0,0
6,Bochaganj,3,4,257966,0
7,Chirirbandar,0,0,0,0
8,Dinajpur Sadar,1,5,378250,76000
9,Fulbari,0,0,0,0
10,Ghoraghat,0,0,0,0
11,Hakimpur,0,0,0,0
12,Kaharole,0,0,0,0
13,Khansama,0,0,0,0
14,Nawabganj,0,0,0,0
15,Parbatipur,9,2,0,0
16,Total,13,11,636216,76000
