,0,1,2,3,4,5,6,7,8,9
0,"Number of selected industry by upazila ,  City Corporation 2011",,,,,,,,,
1,Khulna,,,,,,,,,
2,,,,,,,,,,
3,Upazila/city corporation,Textile mill,Garme nts,Rice mill,Match factory,Steel and engineering,Alumi nium,Jute mill,Sugar mill,Others
4,Batiaghata,0,0,162,0,0,0,0,0,2
5,Dacope,0,0,102,0,0,0,0,0,0
6,Dighalia,0,0,23,0,0,0,3,0,0
7,Dumuria,0,0,98,0,0,0,0,0,0
8,Khulna City Corporation,0,0,49,0,0,0,7,0,32
9,Koyra,0,0,42,0,0,0,0,0,0
10,Paikgachha,0,0,0,0,0,0,0,0,0
11,Phultala,0,0,27,0,3,0,1,0,5
12,Rupsa,0,0,18,0,0,0,0,0,25
13,Terokhada,0,0,0,0,0,0,0,0,0
14,Total,0,0,521,0,3,0,11,0,64
