,0,1,2,3,4,5,6
0,"Area and Production of jackfruit, banana and pineapple 2010-11",,,,,,
1,(Area in acre  production in metric ton),,,,,,
2,Upazila/city corporation,Jackfruits Area,Jackfruits Production,Banana Area,Banana Production,Pineapple Area,Pineapple Production
3,Batiaghata,29,170,79,142,1,0
4,Dacope,3,100,71,147,0,0
5,Dighalia,55,570,100,400,0,0
6,Dumuria,21,2319,278,21,9,47
7,Khulna City Corporation,5,71,5,19,0,0
8,Koyra,3,5,4,14,2,11
9,Paikgachha,11,48,95,425,12,13
10,Phultala,28,79,140,316,10,57
11,Rupsa,76,193,100,1198,6,16
12,Terokhada,44,64,389,1712,0,0
13,Total,273,3619,1261,4393,40,145
