,0,1,2,3,4,5,6,7
0,Number of technical personnel 2011,,,,,,,
1,"
Upazila",Agricultural personnel,"Live- stock
personnel",Plant protection,Fishery personnel,Sanitary personnel,"Family planning
personnel",Trained midwife
2,Alfadanga,24,7,3,4,10,66,11
3,Bhanga,44,24,4,3,9,103,29
4,Boalmari,50,25,4,6,30,75,21
5,Charbhadrashon,9,5,4,3,23,27,15
6,Faridpur Sadar,57,10,2,5,7,142,23
7,Madhukhali,65,8,4,5,6,62,31
8,Nagarkanda,27,7,3,5,5,52,15
9,Sadarpur,35,7,3,4,9,77,22
10,Saltha,18,0,1,5,0,40,6
11,Total,329,93,28,40,99,644,173
