,0,1,2,3,4,5,6
0,"Area and production of wheat, jute and sugarcane 2010-11",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2, Upazila,Wheat - Area,Wheat - Production,Jute - Area,Jute - Production,Sugarcane - Area,Sugarcane - Production
3,Dimla,4595,3952,4416,3576,27,317
4,Domar,988,814,6535,4316,35,176
5,Jaldhaka,432,1014,4665,2981,35,115
6,Kishorgonj,504,435,2168,1497,127,4000
7,Nilphamary Sadar,3170,2680,5155,3952,11,73
8,Sayedpur,1335,1167,3008,2522,50,1325
9,Total,11024,10062,25947,18844,285,6006
