,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Sonali and Janata Bank 2011,,,,,,,,,,
1,"
Upazila/city corporation",Sonali Bank,Sonali Bank,Sonali Bank,Sonali Bank,Sonali Bank,Janata Bank,Janata Bank,Janata Bank,Janata Bank,Janata Bank
2,"
Upazila/city corporation",Number of branch,Account,Account,Account,Account,"Number
of branch",Account,Account,Account,Account
3,"
Upazila/city corporation",Number of branch,S.D,C.D,F.D,S.T.D,"Number
of branch",S.D,C.D,F.D,S.T.D
4,Agailjhara,3,15982,852,497,64,1,0,0,0,0
5,Babuganj,2,0,0,298,37,0,0,0,0,0
6,Bakerganj,5,28800,890,1170,112,4,30000,400,0,30
7,Banaripara,3,8155,665,709,49,0,0,0,0,0
8,Barisal city corporation,5,45150,691,2610,102,8,38332,695,2112,171
9,Barisal sadar,1,7740,89,336,14,0,0,0,0,0
10,Gaurnadi,4,32390,315,1712,40,2,6823,246,192,17
11,Hizla,1,4357,472,285,30,0,0,0,0,0
12,Mehendiganj,1,7085,291,356,34,1,8095,326,242,7
13,Muladi,1,1237,5,375,29,1,2414,511,69,12
14,Wazirpur,3,20363,813,672,69,0,0,0,0,0
15,Total,29,171259,5083,9020,580,17,85664,2178,2615,237
