,0,1,2,3,4
0,"Area of high, medium and low land 2008",,,,
1,,,,,
2,Upazila,High land,Medium land,Low land,Total land
3,Adamdighi,247,22230,11566,34043
4,Bogra sadar,10500,17075,1675,29250
5,Dhunat,18782,28985,2925,50692
6,Dhupchanchia,8700,22965,2100,33765
7,Gabtali,11767,31055,6647,49469
8,Kahaloo,3830,40313,5747,49890
9,Nandigram,15069,40206,5103,60378
10,Sariakandi,50,41210,5000,46260
11,Shajahanpur,27523,12605,1822,41950
12,Sherpur,5162,41280,10915,57357
13,Shibganj,2018,55940,135,58093
14,Sonatola,6864,16675,4280,27819
15,Total,110512,370539,57915,538966
