,0,1,2,3,4,5,6
0,"Number and of pond, dighee and other area 2010-2011",,,,,,
1,(Area in Acre),,,,,,
2, Upazila,Pond - Number,Pond - Area,Dighee - Number,Dighee - Area,Other area,Total Area
3,Austagram,251,179.223,0,0,495.754,674.977
4,Bajitpur,1708,8990,15,475,0,9465
5,Bhairab,213,146.41,0,0,39,185.41
6,Hossainpur,5686,904.125,2,454.257,7,665.986
7,Itna,95,25,8,32,25000,25057
8,Karimganj,2552,510,542,271,22,803
9,Katiadi,2475,901,5,161,114,1176
10,Kishoreganj Sadar,8637,2209.98,213,72.94,1371.23,3654.15
11,Kuliar-char,1194,220,1,25,10,522
12,Mithamain,193,965,1,3,600,6995
13,Nikli,488,393,0,0,26,41369.83
14,Pakundia,5376,850,2,5,10495,11350
15,Tarail,2110,1075,0,0,22,1097
16,Total,30978,17458.74,789,1499.2,38201.98,103015.35
