,0,1,2,3,4,5
0,Use of chemical fertilizer 2010-11,,,,,
1,,,,,,
2,Upazila,UREA,TSP,MP,DAP,Other
3,Austagram,6350,600,980,800,1080
4,Bajitpur,6000,900,1140,500,250
5,Bhairab,2728,613,627,485,0
6,Hossainpur,4632,530,570,225,275
7,Itna,6293,4500,3000,1500,2500
8,Karimganj,5530,2115,2430,1210,530
9,Katiadi,6706,677,314,330,3000
10,Kishoreganj Sadar,5500,1500,450,400,500
11,Kuliar-char,4685,425,245,52,320
12,Mithamain,4332,800,700,200,40
13,Nikli,4120,620,130,225,0
14,Pakundia,5572,823,732,274,350
15,Tarail,2890,415,92,148,0
16,Total,65338,14518,11410,6349,8845
