,0,1,2,3,4,5,6,7
0,Average price of selected item 2011,,,,,,,
1,"(Price Unit per KG, Taka)",,,,,,,
2,Upazila/City corporation,Fine rice (Minicate),Medium rice,Coarse Rice (normal),Wheat,Coarse Flour (Aata),Potato,Soyabean oil
3,Balaganj,48,32,28,24,35,14,130
4,Beanibazar,50,43,36,35,40,15,122
5,Bishwanath,40,32,30,20,40,12,130
6,Companiganj,42,36,32,25,30,12,120
7,Dakhin surma,44,36,30,16,38,15,113
8,Fenchuganj,44,38,25,24,38,10,120
9,Golapganj,45,35,30,23,32,14,120
10,Gowainghat,47,32,26,25,30,13,125
11,Jaintiapur,45,35,28,23,30,12,120
12,Kanaighat,42,32,24,22,35,7,130
13,Sylhet city corporation,42,37,33,25,32,12,130
14,Sylhet sadar,42,35,24,20,36,20,132
15,Zakiganj,43,32,28,23,30,12,120
16,District Average,44,35,28,23,34,12,124
