,0,1,2,3,4,5,6,7
0,Number of technical personnel 2011,,,,,,,
1,Barisal,,,,,,,
2,,,,,,,,
3,Upazila/city corporation,Agricultural personnel,Live-stock personnel,Plant protection,Fishery personnel,Sanitary personnel,Family planning personnel,Trained midwife
4,Agailjhara,19,22,15,7,22,52,5
5,Babuganj,35,7,35,5,10,57,8
6,Bakerganj,46,4,0,2,14,114,200
7,Banaripara,39,8,0,5,9,78,72
8,Barisal city corporation,20,16,0,17,22,60,58
9,Barisal Sadar,52,10,0,5,10,94,50
10,Gaurnadi,18,4,5,5,5,10,4
11,Hizla,17,19,12,7,61,79,4
12,Mehendiganj,26,6,0,4,4,120,0
13,Muladi,24,9,2,5,33,47,14
14,Wazirpur,44,9,0,3,9,91,0
15,Total,340,114,69,65,199,802,415
