,0,1,2,3,4,5,6,7,8
0,"Number of filling station, fire brigade station, police station,  camp, union land (tohsil) office, bop (BGB camp), cyber cafe 2011",,,,,,,,
1,,,,,,,,,
2,Upazila/city corporation,Filling station,Fire brigade station,Police station/ camp,Union land (tohsil) office,Sub- registry office,BOP (BGB camp),ISP provider,Cyber cafe
3,Agailjhara,0,0,1,3,1,0,0,0
4,Babuganj,1,0,3,4,1,0,5,10
5,Bakerganj,2,0,1,14,1,0,22,0
6,Banaripara,0,1,3,8,1,0,0,0
7,Barisal city corporation,10,2,7,0,0,0,3,13
8,Barisal sadar,0,0,1,10,1,0,0,0
9,Gaurnadi,2,1,3,7,1,0,0,0
10,Hizla,0,0,2,5,1,0,0,1
11,Mehendiganj,0,1,2,7,1,0,0,2
12,Muladi,0,0,3,7,1,0,0,0
13,Wazirpur,0,1,5,4,1,0,0,0
14,Total,15,6,31,69,10,0,30,26
