,0,1,2,3,4,5
0,Use of chemical fertilizer 2010-11,,,,,
1,Dinajpur,,,,,
2,,,,,,
3,Upazila,UREA,TSP,MP,DAP,Others
4,Biral,13936,3246,2130,995,2167
5,Birampur,5569,1685,827,322,595
6,Birganj,15584,2249,2714,1243,1049
7,Bochaganj,6163,1530,1034,337,335
8,Chirirbandar,11309,3600,2615,1300,1196
9,Dinajpur Sadar,14100,4500,3834,2052,1317
10,Fulbari,6824,1060,1483,1017,0
11,Ghoraghat,5394,1308,1277,536,2000
12,Hakimpur,3364,740,619,1215,319
13,Kaharole,7629,7241,6499,56,1150
14,Khansama,6120,1135,972,76,668
15,Nawabganj,9087,2332,1700,1916,200
16,Parbatipur,9829,5115,3587,2007,0
17,Total,114908,35741,29291,13072,10996
