,0,1,2,3,4,5,6
0,Area and production of oil seed by type 2010-11,,,,,,
1,Chittagong,,,,,,
2,(Area in acre and production in metric ton),,,,,,
3,Upazila/City corporation,Rape  mustard - Area,Rape  mustard - Production,Ground nut - Area,Ground nut - Production,Til - Area,Til - Production
4,Anowara,0,0,1,3,0,0
5,Banshkhali,0,0,0,0,0,0
6,Boalkhali,0,0,0,0,0,0
7,Chandanaish,98,40,4,1,0,0
8,Chittagong City Corporation,0,0,0,0,0,0
9,Fatikchhari,99,35,13,3,0,0
10,Hathazari,8,2,0,0,1,1
11,Lohagara,0,0,34,15,0,0
12,Mirsharai,19,4,70,57,0,0
13,Patiya,35,14,0,0,0,0
14,Rangunia,289,54,25,13,0,0
15,Raozan,186,75,360,216,22,7
16,Sandwip,177,43,2045,1759,0,0
17,Satkania,122,46,87,49,0,0
18,Sitakunda,1,0,4,3,0,0
19,Total,1034,313,2643,2119,23,8
