,0,1,2,3,4
0,"Length of metalled, semi metalled and unmetalled road 2011",,,,
1,Chittagong,,,,
2,(Kilometer),,,,
3,Upazila/City corporation,Metalled road,Semi metalled road,Unmetalled (kacha) road,Total
4,Anowara,34.00,21.00,60.00,115.00
5,Banshkhali,104.42,169.42,762.72,1036.75
6,Boalkhali,95.00,200.00,350.00,645.00
7,Chandanaish,81.00,141.00,202.00,424.00
8,Chittagong City Corporation,250.80,90.5,47.39,378.35
9,Fatikchhari,87.00,137.00,1091.00,1315.00
10,Hathazari,131.00,140.00,541.00,812.00
11,Lohagara,83.00,114.00,917.00,1115.00
12,Mirsharai,260.00,227.00,1484.00,1971.00
13,Patiya,86.00,52.00,490.00,628.00
14,Rangunia,20.00,5.00,22.00,47.00
15,Raozan,47.00,76.00,391.00,514.00
16,Sandwip,26.15,5.10,16.20,47.45
17,Satkania,106.00,106.00,482.00,694.00
18,Sitakunda,157.00,74.00,301.00,532.00
19,Total,1568.37,1558.02,7157.31,10274.55
