,0,1,2,3,4,5,6,7
0,Area and production of oil seed by type 2009-10,,,,,,,
1,(Area in acre and production in metric ton),,,,,,,
2,Upazila/City corporation,Rape & mustard Area,Rape & mustard Production,Ground nut Area,Ground nut Production,Til Area,Til Production,
3,Anowara,0,0,1,3,0,0,
4,Banshkhali,0,0,51,34,0,0,
5,Boalkhali,0,0,0,0,0,0,
6,Chandanaish,98,40,4,1,0,0,
7,Chittagong City Corp.,0,0,0,0,0,0,
8,Fatikchhari,74,24,10,6,0,0,
9,Hathazari,8,2,0,0,1,1,
10,Lohagara,0,0,35,16,0,0,
11,Mirsharai,19,4,70,57,0,0,
12,Patiya,33,13,0,0,0,0,
13,Rangunia,267,43,32,16,0,0,
14,Raozan,180,72,355,210,20,68,
15,Sandwip,175,42,1045,1759,0,0,
16,Satkania,136,55,99,36,4,7,
17,Sitakunda,2,0,3,3,0,0,
18,Total,992,296,1705,2140,25,76,
