,0,1,2,3,4,5,6
0,Daily average wage rate of construction labour 2011,,,,,,
1,Coxs_Bazar,,,,,,
2,,,,,,,
3,(Rate in taka) -  Upazila,(Rate in taka) - Labour - Mason,(Rate in taka) - Labour - Helper (Jogaly),(Rate in taka) - Labour - Carpenter,(Rate in taka) - Labour - Colour,(Rate in taka) - Labour - Electric,(Rate in taka) - Labour - Plumber
4,Chakaria,400,200,400,400,400,450
5,Cox's Bazar Sadar,400,250,350,500,300,500
6,Kutubdia,400,260,350,300,300,350
7,Moheshkhali,450,250,450,500,500,450
8,Pekua,500,350,450,450,380,380
9,Ramu,550,350,550,400,400,550
10,Teknaf,400,280,400,350,400,400
11,Ukhia,350,250,450,350,500,300
12,Average,431,274,425,406,398,423
