,0,1,2,3,4,5
0,Land area based on utilization 2008,,,,,
1,Coxs_Bazar,,,,,
2,,,,,,
3,Upazila,Operated area,Permanent cropped area,Temporary cropped area,Permanent fallow area,Others
4,Chakaria,45067,2008,31854,167,11038
5,Cox's Bazar Sadar,23577,1955,15128,145,6349
6,Kutubdia,10381,1287,6940,137,2017
7,Moheshkhali,26456,1194,15535,153,9574
8,Pekua,18088,1472,11054,164,5398
9,Ramu,34172,1873,23949,189,8161
10,Teknaf,22383,1312,13991,215,6865
11,Ukhia,20523,1039,12709,207,6568
12,Total,200468,12140,131159,1377,55792
