,0,1,2,3,4,5,6,7,8
0,"Number of agricultural and veterinary college, teacher and student 2011",,,,,,,,
1,,,,,,,,,
2, Upazila,Number of  college,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
3,Dimla,0,0,0,0,0,0,0,0
4,Domar,1,8,2,10,197,22,219,22
5,Jaldhaka,1,7,0,7,260,30,290,41
6,Kishorgonj,0,0,0,0,0,0,0,0
7,Nilphamary Sadar,2,34,10,44,102,35,137,3
8,Sayedpur,0,0,0,0,0,0,0,0
9,Total,4,49,12,61,559,87,646,11
