,0,1,2,3,4
0,"Area of high, medium and low land 2008",,,,
1,Rangamati,,,,
2,,,,,
3,Upazila,High land,Medium land,Low land,Total land
4,Baghaichhari,13395,8342,3278,25015
5,Barkal,155625,11750,20645,188020
6,Belai Chhari,28994,1254,8619,38867
7,Jurai Chhari,899,1899,3883,6681
8,Kaptai,8555,0,1212,9767
9,Kawkhali,23898,4321,0,28219
10,Langadu,7362,22904,14454,44720
11,Naniarchar,32710,39960,24610,97280
12,Rangamati Sadar,40300,28712,20000,89012
13,Rajasthali,7484,8032,6802,22318
14,Total,319222,127174,103503,549899
