,0,1,2,3,4,5
0,"Name of land, river port, important or historical, tourist places, objects, important, famous crop or food production 2011",,,,,
1,,,,,,
2, Upazila/City corporation, Name of land/river/ sea port, Name of Important or historical/tourist place/object,Name of important /famous crop or food production, Customer care service provider’s name of cell phone operator,Distance between district head quarter & Upazila/City corporation by road (km)
3,Anowara,-,Parki Bridge,-,"GP, Banglalink. Citycell, Teletalk,Aritel & Robi",25
4,Banshkhali,-,Eco Park,Paddy,"GP, Banglalink. Citycell, Teletalk,Aritel & Robi",55
5,Boalkhali,-,Madosh Munir Asram,Paddy,"GP, Banglalink. Citycell, Teletalk,Aritel & Robi",30
6,Chandanaish,-,-,-,"GP, Banglalink. Citycell, Teletalk,Aritel & Robi",45
7,  Chittagong City Corp.,  Chittagong Port,"Potenga Sea Beach, Foys Lake, Hazarat Amanat Shah Mazar, Bayzed Bostamai Mazar, Zia Memorial Park",   -,"  GP, Banglalink. Citycell, Teletalk,Aritel & Robi",   -
8,Fatikchhari,-,Company Tila,-,"GP, Banglalink. Citycell, Teletalk,Aritel & Robi",53
9,Hathazari,-,Army Inistitute,Paddy,"GP, Banglalink. Citycell, Teletalk,Aritel & Robi",25
10,Lohagara,-,-,-,"GP, Banglalink. Citycell, Teletalk,Aritel & Robi",83
11,Mirsharai,-,Muhuri project,Paddy,"GP, Banglalink. Citycell, Teletalk,Aritel & Robi",55
12,Patiya,-,Amir Vander,Paddy,"GP, Banglalink. Citycell, Teletalk,Aritel & Robi",32
13,Rangunia,-,Baj Vuban Rajbarip,Paddy,"GP, Banglalink. Citycell, Teletalk,Aritel & Robi",45
14,Raozan,-,Mohamony Matha,Paddy,"GP, Banglalink. Citycell, Teletalk,Aritel & Robi",30
15,Sandwip,-,Sandwip Palace,Baffolo Milk,"GP, Banglalink. Citycell, Teletalk,Aritel & Robi",60
16,Satkania,-,-,Paddy,"GP, Banglalink. Citycell, Teletalk,Aritel & Robi",76
17,Sitakunda,-,Eco Park,Paddy,"GP, Banglalink. Citycell, Teletalk,Aritel & Robi",40
