,0,1,2,3,4,5,6,7,8
0,"Number of secondary school & college (operating jointly), teacher and student by municipality 2011",,,,,,,,
1,"
Upazila",Number of  institute,Number of teacher,Number of teacher,Number of teacher,Number of student,Number of student,Number of student,Students per teacher
2,"
Upazila",Number of  institute,Male,Female,Total,Male,Female,Total,Students per teacher
3,Baliakandi,0,0,0,0,0,0,0,0
4,Goalanda,0,0,0,0,0,0,0,0
5,Kalukhali,0,0,0,0,0,0,0,0
6,Pangsha,0,0,0,0,0,0,0,0
7,Rajbari Sadar,1,20,20,40,668,610,1278,32
8,Total,1,20,20,40,668,610,1278,32
