,0,1,2,3,4,5,6
0,"Number and area of pond, dighee and other area 2010-2011",,,,,,
1,Bogura,,,,,,
2,(Area in Acre),,,,,,
3,Upazila,Pond Number,Pond Area,Dighee Number,Dighee Area,Other area,Total area
4,Adamdighi,6442,3083,0,0,487,3570
5,Bogra sadar,3315,1735,0,0,747,2482
6,Dhunat,1936,1084.3,68,274.76,0,1359.04
7,Gabtali,4288,1518.14,0,0,351,1869.14
8,Dhupchanchia,3490,1481,7,24,30,1535
9,Kahaloo,9540,3905.3,0,0,0,3905.3
10,Nandigram,4076,1567,0,0,55.65,1622.65
11,Sariakandi,293,147,0,0,0,147
12,Sherpur,3338,169,22,205,49,196
13,Shibganj,10900,3005,19,70,5,368
14,Sonatola,3109,1239.22,0,0,27256.9,31605.16
15,Shajahanpur,3379,1852,0,0,189,2041
16,Total,54106,20785.96,116,573.76,29170.55,50700.29
