,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,Bogura,,,,,,,,,
2,,,,,,,,,,
3,Upazila,Small scale and cottage industry Weaving/ handloom,Small scale and cottage industry Handy,Small scale and cottage industry Husking crafts mill,Small scale and cottage industry Goor processing,Small scale and cottage industry Biri Factory,Small scale and cottage industry Salt processing,Small scale and cottage industry Dry fish processing,Small scale and cottage industry Pottery,Small scale and cottage industry Others
4,Adamdighi,560,0,51,0,0,0,0,180,0
5,Bogra sadar,172,111,575,0,6,0,0,213,0
6,Dhunat,533,3089,1696,0,0,0,0,97,128
7,Gabtali,68,14,285,0,0,0,0,241,0
8,Dhupchanchia,650,160,82,0,0,0,0,55,50
9,Kahaloo,941,212,2923,0,0,0,0,72,0
10,Nandigram,41,425,75,0,0,0,0,15,0
11,Sariakandi,0,10,685,0,2,0,0,20,0
12,Sherpur,66,360,375,0,0,0,0,141,634
13,Shibganj,297,286,7000,22,0,0,0,212,0
14,Sonatola,10,50,1832,0,1,0,0,22,65
15,Shajahanpur,0,276,450,0,0,0,0,272,117
16,Total,3338,4993,16029,22,9,0,0,1540,994
