,0,1,2,3,4,5,6,7,8
0,"Number of private (non-registered) primary school (class I-V), teacher and student 2011",,,,,,,,
1,Bogura,,,,,,,,
2,,,,,,,,,
3,Upazila,Number of Non govt. primary school,Number of teacher Male,Number of teacher Female,Number of teacher Total,Number of student Male,Number of student Female,Number of student Total,Students per teacher
4,Adamdighi,2,2,6,8,169,147,384,48
5,Bogra sadar,1,2,2,4,38,37,75,19
6,Dhunat,6,9,15,24,352,381,733,30
7,Gabtali,0,0,0,0,0,0,0,0
8,Dhupchanchia,0,0,0,0,0,0,0,0
9,Kahaloo,2,1,7,8,84,92,176,22
10,Nandigram,5,12,8,20,287,292,579,29
11,Sariakandi,4,12,4,16,410,215,625,39
12,Sherpur,15,20,40,60,941,952,1893,32
13,Shibganj,1,2,2,4,105,57,162,41
14,Sonatola,3,3,9,12,263,300,563,47
15,Shajahanpur,0,0,0,0,0,0,0,0
16,Total,39,63,93,156,2649,2473,5190,33
