,0,1,2,3,4,5,6
0,"Area and production of mango, litchi and blackberry 2010-11",,,,,,
1,(Area in acres & production in metric tons),,,,,,
2,Upazila,Mango Area,Mango Production,Litchi Area,Litchi Production,Blackberry Area,Blackberry Production
3,Basail,84,336,10,24,47,141
4,Bhuapur,67,1405.18,0,75.42,0,49.60
5,Delduar,472,176,24,27,27,37
6,Dhanbari,324.90,351.23,10,39.50,15,31.67
7,Ghatail,47,38,0,0,0,0
8,Gopalpur,26.10,38.40,1.20,2.18,0,0
9,Kalihati,700,3640,15,18,25,80
10,Madhupur,207,491,20,71,5.63,39.41
11,Mirzapur,185,237,48,102,15,42
12,Nagarpur,214,592,26,64,24,26
13,Sakhipur,1900,2644,25,133,29,54
14,Tangail Sadar,1237,3450,40,80,28,77
15,Total,5464,13398.81,219.20,636.10,215.63,577.68
