,0,1,2,3,4,5
0,"Number of non-registered rickshaw, van, easy bike and auto-rickshaw, etc. 2011",,,,,
1,,,,,,
2,Upazila,Rickshaws,Van,Easy bike and auto-rickshaws,Tempo,Nochimon/Korimon/ Bhotvoti
3,Basail,307,203,122,55,21
4,Bhuapur,32,2982,155,130,22
5,Delduar,350,270,176,17,0
6,Dhanbari,48,926,102,20,178
7,Ghatail,480,12305,412,72,143
8,Gopalpur,91,3197,92,47,321
9,Kalihati,250,1813,32,163,5
10,Madhupur,702,1501,72,210,185
11,Mirzapur,35,140,60,25,12
12,Nagarpur,157,164,81,13,13
13,Sakhipur,18,5320,242,48,64
14,Tangail Sadar,5151,995,2030,4000,200
15,Total,7621,29816,3576,4800,1164
