,0,1,2,3,4,5,6,7
0,"Number of pond, dighee, flood camps, shelter, cyclone shelter, stadium,  playground, park,  amusement park 2011",,,,,,,
1,"
Upazila","
Pond","
Dighee","
River flow",Flood camp/ shelter,Cyclone shelter,Stadium/ playground,"Park/ amusement
park"
2,Biral,3728,10,3,0,0,22,0
3,Birampur,1745,5,1,0,0,75,0
4,Birganj,5061,0,3,0,0,24,1
5,Bochaganj,4337,29,2,0,0,27,0
6,Chirirbandar,7095,10,3,0,0,12,0
7,Dinajpur Sadar,4000,450,4,0,0,26,1
8,Fulbari,1684,0,2,0,0,40,0
9,Ghoraghat,1111,0,2,0,0,45,0
10,Hakimpur,1630,0,1,0,0,0,0
11,Kaharole,3000,1,2,0,0,0,0
12,Khansama,5420,0,4,0,0,142,1
13,Nawabganj,2100,4,1,0,0,92,1
14,Parbatipur,3080,44,0,0,0,41,0
15,Total,43991,553,28,0,0,546,4
