,0,1,2,3,4,5,6,7,8
0,"Number of Government college, teacher and student 2011",,,,,,,,
1,,,,,,,,,
2, Upazila,Number of college,Number of teacher - Male,Number of teacher - Female,Number of teacher - Total,Number of student - Male,Number of student - Female,Number of student - Total,Students per teacher
3,Abhaynagar,0,0,0,0,0,0,0,0
4,Bagherpara,0,0,0,0,0,0,0,0
5,Chaugachha,0,0,0,0,0,0,0,0
6,Jessore Sadar,3,209,56,265,19400,8886,28286,106
7,Jhikargachha,0,0,0,0,0,0,0,0
8,Keshabpur,0,0,0,0,0,0,0,0
9,Manirampur,0,0,0,0,0,0,0,0
10,Sharsha,0,0,0,0,0,0,0,0
11,Total,3,209,56,265,19400,8886,28286,106
