,0,1,2,3,4,5,6,7
0,"Number of pond, dighee, flood camps, shelter, cyclone shelter, stadium,  playground, park,  amusement park 2011",,,,,,,
1,,,,,,,,
2, Upazila, Pond, Dighee, River flow,Flood camp/ shelter,Cyclone shelter,Stadium/ playground,Park/ amusement park
3,Abhaynagar,5065,5,3,1,0,11,0
4,Bagherpara,6972,17,3,0,0,94,0
5,Chaugachha,5419,0,3,0,0,94,0
6,Jessore Sadar,8633,15,2,0,0,109,4
7,Jhikargachha,69963,18,2,0,0,17,1
8,Keshabpur,6177,2,3,1,0,75,2
9,Manirampur,10643,0,4,0,0,125,0
10,Sharsha,4115,1,3,0,0,31,0
11,Total,53942,58,23,2,0,504,7
