,0,1,2,3,4,5
0,Cropped area sprayed with plant protection measures 2008,,,,,
1,,,,,,
2,Upazila,Total farm holding - Number,Total farm holding - Cropped area,Spraying farm holding - Number,Spraying farm holding - Cropped area,Reporting area sprayed
3,Abhaynagar,55858,44910,40200,42360,39280
4,Bagherpara,35605,51597,32610,49930,43258
5,Chaugachha,38329,46203,37476,46203,29363
6,Jessore Sadar,64282,82031,42426,68288,32320
7,Jhikargachha,43341,58039,30338,38174,16865
8,Keshabpur,39419,39572,24419,35668,20865
9,Manirampur,68184,87174,50400,30540,25450
10,Sharsha,63672,69095,30500,66540,29640
11,Total,408690,478621,288369,377703,237041
