,0,1,2,3,4,5,6
0,Area and production of rice crops 2010-11,,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,Upazila,Aus - Area,Aus - Production,Aman - Area,Aman - Production,Boro - Area,Boro - Production
3,Abhaynagar,5840,4367,24581,19242,17950,27684
4,Bagherpara,3483,2799,41060,44196,38330,65972
5,Chaugachha,2850,2423,32415,31513,34040,55334
6,Jessore Sadar,4443,4099,67124,58991,68712,113916
7,Jhikargachha,14073,12220,44469,46771,44771,71691
8,Keshabpur,13302,11244,27624,29382,36530,60203
9,Manirampur,28480,28225,62973,60002,72022,121823
10,Sharsha,28850,49045,46450,51095,56700,94847
11,Total,101321,114422,346696,341192,369055,611470
