,0,1,2,3,4,5,6,7,8
0,"Number of kawmi madrasah, teacher and student 2011",,,,,,,,
1,,,,,,,,,
2, Upazila,Number of madrasah,Number of teacher,Number of teacher,Number of teacher,Number of student,Number of student,Number of student,Students per teacher
3, Upazila,Number of madrasah,Male,Female,Total,Male,Female,Total,Students per teacher
4,Dimla,2,5,0,5,50,30,80,16
5,Domar,4,16,0,16,200,0,200,13
6,Jaldhaka,5,41,0,41,850,0,850,21
7,Kishorgonj,10,10,0,10,90,62,152,15
8,Nilphamary Sadar,3,28,0,28,350,0,350,14
9,Sayedpur,10,102,0,102,1632,0,1632,16
10,Total,34,202,0,202,3172,92,3264,16
