,0,1,2,3,4,5,6,7,8
0,"Number of growth centre, hat , bazar, poultry farm, dairy farm, nursery, horticulture centre, brick kiln, decorator services 2011",,,,,,,,
1,,,,,,,,,
2,Upazila/city corporation,Growth Centre,Hat /Bazar,Poultry Farm,Dairy Farm,Nursery,Horticul ture Centre,Brick kiln,Decorator services
3,Batiaghata,3,34,200,29,7,0,3,12
4,Dacope,7,13,500,23,2,0,1,9
5,Dighalia,3,17,125,158,17,0,3,23
6,Dumuria,8,54,353,136,10,0,17,40
7,Khulna City Corporation,0,27,270,149,11,2,0,54
8,Koyra,5,29,33,4,5,0,4,16
9,Paikgachha,7,38,247,40,89,1,6,23
10,Phultala,2,4,176,134,550,0,6,10
11,Rupsa,6,21,159,87,17,0,42,19
12,Terokhada,4,24,143,161,1,0,4,11
13,Total,45,261,2206,921,709,3,86,217
