,0,1,2,3,4,5,6
0,Area and production of potato by type 2010-11,,,,,,
1,(Area in acre and production in metric ton),,,,,,
2, Upazila,Potato,Potato,Sweet potato,Sweet potato,Total potato,Total potato
3, Upazila,Area,Production,Area,Production,Area,Production
4,Baghaichhari,143,554,115,400,258,954
5,Barkal,82,236,78,286,160,521
6,Belai Chhari,38,133,19,33,57,166
7,Jurai Chhari,66,241,40,122,106,363
8,Kaptai,66,192,24,123,90,315
9,Kawkhali,61,256,76,296,137,552
10,Langadu,46,155,22,53,68,208
11,Naniarchar,81,260,62,220,143,480
12,Rangamati Sadar,103,450,94,430,197,880
13,Rajasthali,75,276,11,36,86,312
14,Total,761,2753,541,2000,1302,4751
