,0,1,2,3,4,5,6,7,8,9,10,11
0,"Population and literacy rate of 1981, 1991, 2001 & 2011 and number of voter 2011",,,,,,,,,,,
1,,,,,,,,,,,,
2, Upazila,Population (000) 1981,Population (000) 1991,Population (000) 2001,Population (000) 2011,Literacy rate (%) 1981,Literacy rate (%) 1991,Literacy rate (%) 2001,Literacy rate (%) 2011,Number of voter (000) Male,Number of voter (000) Female,Number of voter (000) Total
3,Atpara,110,120,132,145,21.0,24.0,33.7,38.7,45,45,90
4,Barhatta,119,142,158,180,20.3,23.8,33.4,37.6,53,53,106
5,Durgapur,139,169,198,225,19.9,23.0,33.6,39.5,35,30,65
6,Kalmakanda,177,209,234,272,40.2,21.4,30.2,36.6,76,77,153
7,Kendua,240,265,287,305,12.9,37.1,33.1,37.6,90,92,182
8,Khaliajuri,171,76,82,97,15.0,21.5,34.5,30.4,28,28,56
9,Madan,105,117,142,154,11.7,18.7,27.1,30.4,46,46,92
10,Mohanganj,112,129,144,168,20.7,27.8,34.3,42.1,50,50,100
11,Netrokona Sadar,211,265,330,373,24.1,28.4,44.8,46.0,107,108,215
12,Purbadhala,218,235,281,311,17.9,23.0,35.6,42.8,90,91,181
13,Total,1602,1727,1988,2230,20.4,24.8,34.9,39.4,620,620,1240
