,0,1,2,3,4,5,6,7,8,9,10
0,Number of branch and accounts of Rupali and Agrani bank 2011,,,,,,,,,,
1,"
Upazila",Rupali bank,Rupali bank,Rupali bank,Rupali bank,Rupali bank,Agrani bank,Agrani bank,Agrani bank,Agrani bank,Agrani bank
2,"
Upazila","Number of
branch",Account,Account,Account,Account,"Number of
branch",Account,Account,Account,Account
3,"
Upazila","Number of
branch",S.D,C.D,F.D,S.T.D,"Number of
branch",S.D,C.D,F.D,S.T.D
4,Azmirigonj,0,0,0,0,0,0,0,0,0,0
5,Bahubal,0,0,0,0,0,0,0,0,0,0
6,Baniachang,0,0,0,0,0,0,0,0,0,0
7,Chunarughat,0,0,0,0,0,0,0,0,0,0
8,Habiganj Sadar,1,42,72,83,0,3,1327,204,233,1
9,Lakhai,0,0,0,0,0,0,0,0,0,0
10,Madhabpur,0,0,0,0,0,0,0,0,0,0
11,Nabiganj,2,14300,960,68,12,2,19590,1352,78,7
12,Total,3,14342,1032,151,12,5,20917,1556,311,8
