,0,1,2,3,4,5
0,Cropped area sprayed with plant protection measures 2008,,,,,
1,"
Upazila",Total farm holding,Total farm holding,Spraying farm holding,Spraying farm holding,Reporting area sprayed
2,"
Upazila",Number,Cropped area,Number,Cropped area,Reporting area sprayed
3,Azmirigonj,10635,30445,0,30647,0
4,Bahubal,18579,27961,13429,16580,14128
5,Baniachang,29234,81298,1040,1122,942
6,Chunarughat,35351,40422,32000,29000,13260
7,Habiganj Sadar,24368,36593,0,0,0
8,Lakhai,15101,32740,0,0,0
9,Madhabpur,37601,45856,17618,22385,19632
10,Nabiganj,26274,55400,21000,40864,10205
11,Total,197143,350715,170174,281196,116334
