,0,1,2,3,4
0,"Name of land, river port, important or historical, tourist places, objects, important, famous crop or food production 2011",,,,
1,Gaibandha,,,,
2,,,,,
3, Upazila,Name of land/river/sea port, Name of Important or historical/tourist place/object,Name of important /famous crop or food production,Distance between district head quarter  upazila by road (km)
4,Fulchhari,Balashi Ghat,-,Paddy,15
5,Gaibandha Sadar,-,Mirer Bagan Pagla pir mazar,"Paddy, Wheat",1
6,Gobindaganj,-,Raja birat Masta parchir mosque,"Paddy, Jute",38
7,Palashbari,-,Dreamland Park,Paddy,22
8,Sadullapur,-,Jamalpur Shahi Mosque,Paddy,13
9,Saghata,Karotoya,-,Paddy,22
10,Sundarganj,-,Bamon danga rajbari,Paddy,35
