,0,1,2,3,4,5,6
0,Area and production of oil seed by type 2010-11,,,,,,
1,Kurigram,,,,,,
2,(Area in acre and production in metric ton),,,,,,
3,Upazila,Rape  mustard - Area,Rape  mustard - Production,Ground nut - Area,Ground nut - Production,Til - Area,Til - Production
4,Bhurungamari,470,183,0,0,0,6
5,Char Rajibpur,6300,2800,988,680,480,180
6,Chilmari,335,823,1530,570,205,62
7,Kurigram Sadar,195,87,10,3,33,10
8,Nageshwari,365,155,24,15,0,0
9,Phulbari,130,858,0,0,25,10
10,Rajarhat,46,14,0,0,0,0
11,Raumari,1175,246,195,222,16,4
12,Ulipur,1470,441,51,32,118,36
13,Total,10486,5607,2798,1522,877,308
