,0,1,2,3,4,5,6,7,8,9
0,Number of small scale and cottage industry 2011,,,,,,,,,
1,"
Upazila",Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry,Small scale and cottage industry
2,"
Upazila","Weaving/
handloom",Handy,"Husking
crafts mill","Goor
processing","Biri
factory","Salt
processing","Dry fish
processing",Pottery,Others
3,Daulotpur,108,0,118,6,1,0,0,28,0
4,Gheor,4,0,21,0,0,0,0,0,17
5,Horirampur,90,495,43,60,1,0,0,120,0
6,Manikganj Sadar,15,157,340,0,0,0,0,43,15
7,Saturia,1550,1200,0,0,0,0,0,155,0
8,Shibalaya,3,2,45,0,1,0,0,21,0
9,Singair,0,0,0,0,0,0,0,0,0
10,Total,1770,1854,567,66,3,0,0,384,15
