,0,1,2,3,4,5,6,7
0,Land utilization (temporary cropped area) by upazila 2008,,,,,,,
1,,,,,,,,
2,Upazila Upazila 1,Current fallow Current fallow 2,Temporary cropped area (acre) Single 3,Temporary cropped area (acre) Double 4,Temporary cropped area (acre) Triple 5,Temporary cropped area (acre) Net 6,Temporary cropped area (acre) Gross 7,Productivity of crop Productivity of crop 8
3,Atgharia,9,9382,21000,3082,33464,60628,181
4,Bera,0,9540,18025,3100,30665,54890,179
5,Bhangura,224,7981,12155,667,20803,34113,164
6,Chatmohar,91,19245,32365,4709,56319,97452,173
7,Faridpur,58,1500,22176,2645,26321,53787,204
8,Ishwardi,50,14530,20565,6735,38830,75865,195
9,Pabna Sadar,672,24608,25913,12087,62609,112696,180
10,Santhia,100,15890,36920,7345,60155,111765,186
11,Sujanagar,280,20389,33226,4200,57815,99441,172
12,Total,1484,123065,222345,44570,386981,700637,182
