,0,1,2,3,4,5,6
0,"Area and production of jackfruit, banana and pineapple 2010-11",,,,,,
1,(Area in acre and production in metric ton),,,,,,
2,"
Upazila",Jackfruits,Jackfruits,Banana,Banana,Pineapple,Pineapple
3,"
Upazila",Area,Production,Area,Production,Area,Production
4,Chandpur Sadar,13,116,253,1340,0,0
5,Foridganj,328,570,355,2675,4,45
6,Haimchar,5,8988,3,27,0,0
7,Hajiganj,97,761,35,60,0,0
8,Kachua,9,169,64,512,0,0
9,Matlab Dakshin,12,109,45,357,1,3
10,Matlab Uttar,285,1928,79,560,0,0
11,Shahrasti,30,346,47,88,0,0
12,Total,779,12987,881,5619,5,48
