,0,1,2,3,4,5,6,7,8,9
0,Number of selected industry by upazila 2011,,,,,,,,,
1,Upazila,"Textile
mill","Garments
factory","Rice
mill","Match
factory","Steel and
engineering",Aluminium,"Jute
mill","Sugar
mill",Others
2,Chandpur Sadar,0,0,99,1,0,1,2,0,0
3,Foridganj,0,1,117,0,0,0,0,0,0
4,Haimchar,0,0,15,0,0,0,0,0,0
5,Hajiganj,0,0,64,0,0,1,0,0,0
6,Kachua,0,0,117,0,0,1,0,0,0
7,Matlab Dakshin,0,0,36,0,0,0,0,0,0
8,Matlab Uttar,0,0,70,0,0,0,0,0,0
9,Shahrasti,0,0,55,0,0,0,0,0,0
10,Total,0,1,573,1,0,3,2,0,0
