,0,1,2,3,4
0,Number of fisherman and production of fish in following years,,,,
1,(Production in metric ton),,,,
2,"
Upazila",2010-11,2010-11,2009-10,2009-10
3,"
Upazila",Number,Production,Number,Production
4,Chandpur Sadar,10000,20400,10000,17750
5,Foridganj,4160,8756,4150,8730
6,Haimchar,11000,5961,11000,5809
7,Hajiganj,2500,5006,2400,4906
8,Kachua,650,6369,650,6234
9,Matlab Dakshin,824,3035,810,3010
10,Matlab Uttar,4500,2547,4500,2501
11,Shahrasti,550,5527,550,4019
12,Total,34184,57601,34060,52959
